Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race,Race Reliability,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence,Residence Reliability,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated,Hospital Treated Reliability,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission,Admission Reliability,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges,Number of Discharges Reliability,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health,History of Health Reliability,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
1360,1098,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Unfair,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Very Unfair,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Very Unfair,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Unfair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Very Fair,Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree
1361,1108,18-29,Bachelor,Female,,<25000,false,false,false,false,true,,hos,properties first,Fair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Agree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Agree,Unfair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Unfair,Agree,Neutral,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Fair,Somewhat Agree,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree
1362,1123,18-29,Bachelor,Male,,50000-75000,false,true,false,false,false,,hos,fairness first,Somewhat Unfair,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Very Fair,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Fair,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Fair,Disagree,Disagree,Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Unfair,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Unfair,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Fair,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree
1363,2876,30-39,Graduate,Male,,>100000,false,false,true,true,false,,hos,fairness first,Fair,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Somewhat Unfair,Agree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Somewhat Unfair,Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Neutral,Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Disagree,Fair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1364,2617,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,hos,fairness first,Somewhat Unfair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Unfair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Very Unfair,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Unfair,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Agree,Strongly Agree,Very Unfair,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Fair,Agree,Strongly Agree,Agree,Neutral,Somewhat Disagree,Agree,Strongly Agree
1365,1517,60-69,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Agree,Somewhat Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Neutral,Somewhat Agree,Strongly Agree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Fair,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Very Fair,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
1366,850,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Disagree,Somewhat Fair,Strongly Agree,Somewhat Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,,Neutral,Disagree,Somewhat Fair,Somewhat Agree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Fair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Disagree,Fair,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Agree,Disagree,Disagree
1367,762,30-39,High School,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Very Unfair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Disagree,Disagree,,Agree,Very Unfair,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Very Unfair,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Somewhat Disagree,Unfair,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Unfair,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Very Unfair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
1368,1982,30-39,Bachelor,Female,,25000-50000,false,false,false,false,false,NATIVE AMERICAN,hos,properties first,Unfair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Unfair,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Unfair,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Fair,Agree,,Neutral,Neutral,Somewhat Agree,Agree,,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral
1369,3306,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Unfair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Neutral,Agree,Agree,Disagree,Very Unfair,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Very Unfair,Agree,Disagree,Somewhat Agree,Disagree,Strongly Agree,Agree,Neutral,Very Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neutral,Neutral,Very Unfair,Neutral,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Disagree,Unfair,Disagree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Agree,Very Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Disagree,Strongly Disagree,Very Unfair,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree
